title,author,avg_rating,ratings,score,votes
The Stranger,Albert Camus,4.02,"995,871",8862,90
Crime and Punishment,Fyodor Dostoevsky,4.26,"841,897",7213,73
1984,George Orwell,4.19,"4,302,719",5727,59
The Brothers Karamazov,Fyodor Dostoevsky,4.36,"312,317",4804,49
Siddhartha,Hermann Hesse,4.06,"734,176",4735,49
"Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead",Fyodor Dostoevsky,4.18,"76,146",3788,39
The Picture of Dorian Gray,Oscar Wilde,4.12,"1,413,635",3630,38
Nausea,Jean-Paul Sartre,3.94,"111,887",3622,38
Animal Farm,George Orwell,3.98,"3,654,887",3620,38
Steppenwolf,Hermann Hesse,4.13,"174,993",3613,37
Brave New World,Aldous Huxley,3.99,"1,771,783",3337,35
The Unbearable Lightness of Being,Milan Kundera,4.11,"439,299",3257,34
The Metamorphosis,Franz Kafka,3.85,"951,366",3253,34
Candide,Voltaire,3.76,"265,496",3247,34
Sophie's World,Jostein Gaarder,3.96,"250,155",3227,33
Hamlet,William Shakespeare,4.02,"904,845",2970,31
Atlas Shrugged,Ayn Rand,3.69,"383,014",2878,29
Thus Spoke Zarathustra,Friedrich Nietzsche,4.07,"142,191",2684,28
Fahrenheit 451,Ray Bradbury,3.97,"2,268,511",2549,27
"Faust, First Part",Johann Wolfgang von Goethe,3.87,"72,759",2516,26
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.09,"1,321,462",2486,26
The Myth of Sisyphus and Other Essays,Albert Camus,4.22,"53,411",2306,24
The Little Prince,Antoine de Saint-Exupéry,4.32,"1,970,463",2193,23
Do Androids Dream of Electric Sheep? (Blade Runner #1),Philip K. Dick,4.09,"429,101",2152,23
Frankenstein,Mary Wollstonecraft Shelley,3.86,"1,500,784",1969,21
The Trial,Franz Kafka,3.96,"302,039",1943,21
The Man Without Qualities,Robert Musil,4.19,"6,552",1864,19
"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,3.78,"224,812",1734,18
Zorba the Greek,Nikos Kazantzakis,4.05,"48,961",1710,18
The Name of the Rose,Umberto Eco,4.13,"352,618",1707,18
The Magic Mountain,Thomas Mann,4.13,"46,806",1631,17
Demian. Die Geschichte von Emil Sinclairs Jugend,Hermann Hesse,4.14,"105,281",1580,17
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.13,"1,932,027",1522,16
Moby-Dick,Herman Melville,3.54,"541,428",1494,16
Catch-22,Joseph Heller,3.99,"812,110",1368,15
Gulliver's Travels,Jonathan Swift,3.58,"266,146",1357,15
Clotho's Loom,Shawn StJean,4.02,45,1200,12
Bartleby the Scrivener,Herman Melville,3.93,"60,800",1178,13
The Notebooks of Malte Laurids Brigge,Rainer Maria Rilke,3.96,"8,468",1140,12
Remembrance of Things Past,Marcel Proust,4.35,"12,035",1131,12
The Death of Ivan Ilych,Leo Tolstoy,4.12,"146,661",1119,12
The Catcher in the Rye,J.D. Salinger,3.8,"3,368,689",1115,12
The Book of Disquiet,Fernando Pessoa,4.42,"28,530",1079,11
"Ishmael: An Adventure of the Mind and Spirit (Ishmael, #1)",Daniel Quinn,4,"94,608",1078,11
Narcissus and Goldmund,Hermann Hesse,4.21,"59,109",1058,11
Ulysses,James Joyce,3.75,"124,342",1047,11
A Perfect Square,Isobel Blackthorn,3.97,31,1000,10
A Confession,William F. Aicher,4.1,52,1000,10
Don Quixote,Miguel de Cervantes Saavedra,3.89,"258,620",970,11
The Glass Bead Game,Hermann Hesse,4.11,"37,277",923,10
Journey to the End of the Night,Louis-Ferdinand Céline,4.2,"39,958",866,9
When Nietzsche Wept,Irvin D. Yalom,4.36,"67,245",856,9
The Fall,Albert Camus,4.04,"97,232",830,9
Ubik,Philip K. Dick,4.1,"103,213",765,8
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,3.83,"537,767",765,9
The Elegance of the Hedgehog,Muriel Barbery,3.79,"178,255",764,8
Either/Or: A Fragment of Life,Søren Kierkegaard,4.17,"8,644",668,7
His Dark Materials (His Dark Materials #1-3),Philip Pullman,4.28,"158,215",667,7
The Modern Man: A philosophical divagation about the evil banality of daily acts,Cristiane Serruya,3.97,72,600,6
Existing the Moments,Taylor DiVico,3.33,9,599,6
The Wall,Jean-Paul Sartre,4.07,"24,224",586,6
The Razor's Edge,W. Somerset Maugham,4.19,"46,188",574,6
Immortality,Milan Kundera,4.14,"36,830",556,6
The Idiot,Fyodor Dostoevsky,4.2,"171,277",545,6
The Immoralist,André Gide,3.57,"11,571",522,6
Jacques the Fatalist,Denis Diderot,3.81,"8,437",519,6
Invisible Cities,Italo Calvino,4.12,"78,866",454,5
The Confusions of Young Törless,Robert Musil,3.68,"8,510",446,5
Solaris,Stanislaw Lem,3.99,"99,635",444,5
The Woman in the Dunes,Kobo Abe,3.9,"30,767",425,5
Robinson Crusoe,Daniel Defoe,3.68,"294,723",389,5
"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,4.01,"258,357",385,4
The Plague,Albert Camus,4.02,"244,578",379,5
Death on the Installment Plan,Louis-Ferdinand Céline,4.21,"8,066",377,4
The Geranium Woman,Hazel Manuel,4.52,25,375,4
Walden,Henry David Thoreau,3.78,"183,533",364,4
The Lord Chandos Letter and Other Writings,Hugo von Hofmannsthal,4.06,559,354,4
Demons,Fyodor Dostoevsky,4.29,"48,873",332,4
One Hundred Years of Solitude,Gabriel García Márquez,4.11,"928,104",329,4
Ox Herding: A Secular Pilgrimage,Jackie Griffiths,2.86,29,300,3
The Infinite Jeff - A Parable of Change: Part 1: Journey into Insight,Will Holcomb,4.62,147,300,3
Turtle A,Ellie Martin-Mckinsey,4.57,21,300,3
Anathem,Neal Stephenson,4.17,"70,055",295,3
Wittgenstein's Mistress,David Markson,3.95,"6,244",294,3
Traveler of the Century,Andrés Neuman,3.83,"2,019",293,3
Adaptation,G.C. Huxley,3.79,24,292,3
"Dune (Dune, #1)",Frank Herbert,4.26,"1,241,397",292,3
Heart of Darkness,Joseph Conrad,3.43,"493,642",291,4
"Combray (In Search of Lost Time, #1.1)",Marcel Proust,3.5,"1,352",288,3
"Children of Dune (Dune, #3)",Frank Herbert,3.96,"168,727",283,3
The Castle,Franz Kafka,3.94,"58,834",280,3
Ilmurinn: Saga af Morðingja,Patrick Süskind,4.03,"438,074",278,3
Invisible Man,Ralph Ellison,3.91,"181,854",277,3
The Long Weekend,Ross Lennon,4.53,38,268,3
The Novices of Sais,Novalis,3.97,408,266,3
Anthem,Ayn Rand,3.62,"150,772",266,3
Fictions,Jorge Luis Borges,4.42,"63,615",263,3
The Divine Comedy,Dante Alighieri,4.07,"145,466",262,3
Molloy / Malone Dies / The Unnamable,Samuel Beckett,4.28,"8,808",253,3
Maldoror and the Complete Works,Comte de Lautréamont,4.26,"3,775",251,3
The Old Man and the Sea,Ernest Hemingway,3.8,"1,083,747",247,3
Confessions,Augustine of Hippo,3.95,"60,725",236,3
"The Sunday Philosophy Club (Isabel Dalhousie, #1)",Alexander McCall Smith,3.36,"23,336",200,2
